1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Uitstoot Energiesector - CO2 [ton],,49286559,,,,,50738378,,,,,54486304,,,,,53939960,53145525,50171846,47330428
Uitstoot Overige industrie - CO2 [ton],,17619340,,,,,17954492,,,,,16827359,,,,,15242014,15383209,16185394,15605856
Uitstoot Raffinaderijen - CO2 [ton],,12124513,,,,,12342150,,,,,10731386,,,,,11188563,11166581,10551995,10665872
Uitstoot Landbouw - CO2 [ton],,7651366,,,,,7853286,,,,,10565929,,,,,8282763,8241130,8309564,8364826
Uitstoot Landbouw - Energiegebruik Landbouw - CO2 [ton],,7397889,,,,,7362925,,,,,10170998,,,,,7912663,7883855,7999148,8053875
Uitstoot Landbouw - Indirecte emissies broeikasgassen Landbouw - CO2 [ton],,181172,,,,,171621,,,,,200519,,,,,235650,231891,227221,225290
Uitstoot Landbouw - Landbouwbedrijven - CO2 [ton],,,,,,,270696,,,,,153645,,,,,97287,99845,48284,72445
Uitstoot Landbouw - Productgebruik Landbouw - CO2 [ton],,72305,,,,,48044,,,,,40766,,,,,37163,25540,34912,13216
Uitstoot Totaal Methaan (CH4) [kg],,,,,,,,,,,,,,,,,785009018,788817721,775553332,750635861
Uitstoot Totaal Lachgas (N2O) [kg],,,,,,,,,,,,,,,,,31217233,30065994,32294278,30931590
Uitstoot Totaal HFK 32 [kg],,,,,,,,,,,,,,,,,36519,36676,36666,37530
Uitstoot Totaal HFK 23 [kg],,,,,,,,,,,,,,,,,13811,17047,13232,25521
Uitstoot Totaal HFK 152A [kg],,,,,,,,,,,,,,,,,147,92,92,3405
Uitstoot Totaal HFK 143A [kg],,,,,,,,,,,,,,,,,145017,158343,158510,160010
Uitstoot Totaal HFK 134A [kg],,,,,,,,,,,,,,,,,505074,490734,495837,400846
Uitstoot Totaal HFK 125 [kg],,,,,,,,,,,,,,,,,189576,34957,35525,34837
Uitstoot Totaal Zwavelhexafluoride (SF6) [kg],,,,,,,,,,,,,,,,,6089,5814,5818,5943
Totaal uitstoot overige broeikasgassen (CO2-eq.) volgens IPCC AR5 [ton CO2-equivalent],,,,,,,,,,,,,,,,,32545553,31936050,32117170,31096259
Uitstoot (CO2-eq.) Totaal Methaan (CH4) volgens IPCC AR5 [ton CO2-equivalent],,,,,,,,,,,,,,,,,21980252,22086896,21715493,21017804
"Uitstoot (CO2-eq.) Totaal F-gassen (HFK's, SF6) volgens IPCC AR5 [ton CO2-equivalent]",,,,,,,,,,,,,,,,,2292734,1881665,1843693,1881584
Uitstoot (CO2-eq.) Totaal Lachgas (N2O) volgens IPCC AR5 [ton CO2-equivalent],,,,,,,,,,,,,,,,,8272567,7967488,8557984,8196871
Uitstoot (CO2-eq.) Totaal HFK 32 volgens IPCC AR5 [ton CO2-equivalent],,,,,,,,,,,,,,,,,24724,24829,24823,25408
Uitstoot (CO2-eq.) Totaal HFK 23 volgens IPCC AR5 [ton CO2-equivalent],,,,,,,,,,,,,,,,,171256,211383,164077,316465
Uitstoot (CO2-eq.) Totaal HFK 152A volgens IPCC AR5 [ton CO2-equivalent],,,,,,,,,,,,,,,,,20,13,13,470
Uitstoot (CO2-eq.) Totaal HFK 14 volgens IPCC AR5 [ton CO2-equivalent],,,,,,,,,,,,,,,,,696081,760045,760846,768047
Uitstoot (CO2-eq.) Totaal HFK 134A volgens IPCC AR5 [ton CO2-equivalent],,,,,,,,,,,,,,,,,656597,637955,644588,521100
Uitstoot (CO2-eq.) Totaal HFK 125 volgens IPCC AR5 [ton CO2-equivalent],,,,,,,,,,,,,,,,,600955,110813,112614,110433
Uitstoot (CO2-eq.) Totaal Zwavelhexafluoride (SF6) volgens IPCC AR5 [ton CO2-equivalent],,,,,,,,,,,,,,,,,143101,136627,136733,139661
Totaal overige broeikasgassen (CO2-eq.) volgens IPCC AR4 [ton CO2-equivalent],,,,,,,,,,,,,,,,,31321281,30613278,30899275,
Uitstoot (CO2-eq.) Totaal Lachgas (N2O) volgens IPCC AR4 [ton CO2-equivalent],,,,,,,,,,,,,,,,,9302735,8959666,9623695,
Uitstoot (CO2-eq.) Totaal HFK 125 volgens IPCC AR4 [ton CO2-equivalent],,,,,,,,,,,,,,,,,663515,122349,124337,
Uitstoot (CO2-eq.) Totaal HFK 134A volgens IPCC AR4 [ton CO2-equivalent],,,,,,,,,,,,,,,,,713670,693408,700618,
Uitstoot (CO2-eq.) Totaal HFK 143A volgens IPCC AR4 [ton CO2-equivalent],,,,,,,,,,,,,,,,,648225,707792,708538,
Uitstoot (CO2-eq.) Totaal HFK 152A volgens IPCC AR4 [ton CO2-equivalent],,,,,,,,,,,,,,,,,18,11,11,
Uitstoot (CO2-eq.) Totaal HFK 23 volgens IPCC AR4 [ton CO2-equivalent],,,,,,,,,,,,,,,,,204403,252296,195834,
Uitstoot (CO2-eq.) Totaal HFK 32 volgens IPCC AR4 [ton CO2-equivalent],,,,,,,,,,,,,,,,,24651,24756,24750,
Uitstoot (CO2-eq.) Totaal Methaan (CH4) volgens IPCC AR4 [ton CO2-equivalent],,,,,,,,,,,,,,,,,19625225,19720443,19388833,
Uitstoot (CO2-eq.) Totaal PFK116 volgens IPCC AR4 [ton CO2-equivalent],,,,,,,,,,,,,,,,,1014,1021,1045,
Uitstoot (CO2-eq.) Totaal PFK14 volgens IPCC AR4 [ton CO2-equivalent],,,,,,,,,,,,,,,,,3861,3887,3979,
Uitstoot (CO2-eq.) Totaal Zwavelhexafluoride (SF6) volgens IPCC AR4 [ton CO2-equivalent],,,,,,,,,,,,,,,,,138838,132557,132660,
"Uitstoot (CO2-eq.) Totaal F-gassen (HFK's, SF6) volgens IPCC AR4 [ton CO2-equivalent]",,,,,,,,,,,,,,,,,2393320,1933169,1886747,
