1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
"Totaal bekende CO2-uitstoot (gas, elektr., warmte, voertuigbrandstoffen) [ton]",,,,,,,,,,
Totaal bekende CO2-uitstoot exclusief CO2-uitstoot auto(snel)wegen [ton],,,,,,,,,,
"CO2-uitstoot Gebouwde Omgeving (gas, elektr. en warmte, tier 3/tier 2) [ton]",,,,,,,,,,
"CO2-uitstoot Verkeer en vervoer incl. auto(snel)wegen, excl. elektr. railverkeer (scope 1, tier 1) [ton]",32657895,33067134,33476372,33885611,34294849,34704087,35505658,36307229,37108799,37910370
"CO2-uitstoot Industrie, Energie, Afval en Water (gas en elektr., tier 3) [ton]",,,,,,,,,,
"CO2-uitstoot Landbouw, bosbouw en visserij, SBI A (gas, elektr., tier 3) [ton]",,,,,,,,,,
CO2-uitstoot Bedrijven en instellingen excl. gasgebruik energieproductie (gas en elektriciteit) [ton],,,,,,,,,,
"CO2-uitstoot Woningen, temperatuurgecorrigeerd (sjv gas en elektr., tier 3 en warmte, tier 2) [ton]",,,,,,,,,,
CO2-uitstoot t.g.v. gasverbruik [ton],,,,,,,,,,
CO2-uitstoot t.g.v. elektriciteitsgebruik [ton],,,,,,,,,,
Uitstoot (CO2-eq.) Totaal Methaan (CH4) volgens IPCC AR5 [ton CO2-equivalent],,,,,,,,,,
"Uitstoot (CO2-eq.) Totaal F-gassen (HFK's, SF6) volgens IPCC AR5 [ton CO2-equivalent]",,,,,,,,,,
Uitstoot (CO2-eq.) Totaal Lachgas (N2O) volgens IPCC AR5 [ton CO2-equivalent],,,,,,,,,,
Uitstoot (CO2-eq.) Totaal HFK 32 volgens IPCC AR5 [ton CO2-equivalent],,,,,,,,,,
Uitstoot (CO2-eq.) Totaal HFK 23 volgens IPCC AR5 [ton CO2-equivalent],,,,,,,,,,
Uitstoot (CO2-eq.) Totaal HFK 152A volgens IPCC AR5 [ton CO2-equivalent],,,,,,,,,,
Uitstoot (CO2-eq.) Totaal HFK 14 volgens IPCC AR5 [ton CO2-equivalent],,,,,,,,,,
Uitstoot (CO2-eq.) Totaal HFK 134A volgens IPCC AR5 [ton CO2-equivalent],,,,,,,,,,
Uitstoot (CO2-eq.) Totaal HFK 125 volgens IPCC AR5 [ton CO2-equivalent],,,,,,,,,,
Uitstoot (CO2-eq.) Totaal Zwavelhexafluoride (SF6) volgens IPCC AR5 [ton CO2-equivalent],,,,,,,,,,
Totaal overige broeikasgassen (CO2-eq.) volgens IPCC AR4 [ton CO2-equivalent],,,,,,,,,,
Uitstoot (CO2-eq.) Totaal Lachgas (N2O) volgens IPCC AR4 [ton CO2-equivalent],,,,,,,,,,
Uitstoot (CO2-eq.) Totaal HFK 125 volgens IPCC AR4 [ton CO2-equivalent],,,,,,,,,,
Uitstoot (CO2-eq.) Totaal HFK 134A volgens IPCC AR4 [ton CO2-equivalent],,,,,,,,,,
Uitstoot (CO2-eq.) Totaal HFK 143A volgens IPCC AR4 [ton CO2-equivalent],,,,,,,,,,
Uitstoot (CO2-eq.) Totaal HFK 152A volgens IPCC AR4 [ton CO2-equivalent],,,,,,,,,,
Uitstoot (CO2-eq.) Totaal HFK 23 volgens IPCC AR4 [ton CO2-equivalent],,,,,,,,,,
Uitstoot (CO2-eq.) Totaal HFK 32 volgens IPCC AR4 [ton CO2-equivalent],,,,,,,,,,
Uitstoot (CO2-eq.) Totaal Methaan (CH4) volgens IPCC AR4 [ton CO2-equivalent],,,,,,,,,,
Uitstoot (CO2-eq.) Totaal PFK116 volgens IPCC AR4 [ton CO2-equivalent],,,,,,,,,,
Uitstoot (CO2-eq.) Totaal PFK14 volgens IPCC AR4 [ton CO2-equivalent],,,,,,,,,,
Uitstoot (CO2-eq.) Totaal Zwavelhexafluoride (SF6) volgens IPCC AR4 [ton CO2-equivalent],,,,,,,,,,
"Uitstoot (CO2-eq.) Totaal F-gassen (HFK's, SF6) volgens IPCC AR4 [ton CO2-equivalent]",,,,,,,,,,
